Wavelength,Intensity
1288.5095677823629,24669
1290.2221604191345,25016
1291.9341360040253,25257
1293.6454947288203,26057
1295.3562367852664,26663
1297.0663623650617,27701
1298.7758716598728,28893
1300.4847648613159,29921
1302.1930421609686,30744
1303.9007037503743,31073
1305.6077498210234,31082
1307.3141805643772,31430
1309.0199961718481,31447
1310.72519683481,31285
1312.4297827445989,32041
1314.1337540924997,32262
1315.8371110697681,32879
1317.5398538676109,33244
1319.2419826772002,34769
1320.9434976896591,35916
1322.6443990960779,37466
1324.3446870874996,39111
1326.0443618549307,41132
1327.7434235893306,42955
1329.441872481626,44679
1331.1397087226978,46003
1332.8369325033891,47689
1334.5335440144954,48830
1336.2295434467724,50108
1337.9249309909446,50082
1339.6197068376878,49303
1341.3138711776337,47323
1343.0074242013798,45414
1344.7003660994778,42358
1346.392697062447,40253
1348.0844172807538,38242
1349.775526944828,36919
1351.4660262450652,36058
1353.1559153718117,35520
1354.8451945153793,35368
1356.5338638660305,35141
1358.2219236139917,35161
1359.9093739494547,34125
1361.5962150625619,33657
1363.2824471434142,32895
1364.9680703820814,31974
1366.6530849685805,30899
1368.3374910928942,29861
1370.0212889449631,29295
1371.7044787146879,28367
1373.3870605919292,27939
1375.0690347665022,28110
1376.7504014281876,28072
1378.4311607667187,28525
1380.1113129717942,28801
1381.7908582330656,29472
1383.4697967401535,30456
1385.1481286826256,31522
1386.8258542500171,32542
1388.5029736318174,33837
1390.1794870174836,34585
1391.8553945964159,35771
1393.5306965579948,36641
1395.2053930915445,38038
1396.8794843863543,38710
1398.5529706316702,38900
1400.2258520167015,39217
1401.8981287306069,38857
1403.569800962523,38544
1405.2408689015247,38134
1406.9113327366631,37531
1408.5811926569349,37194
1410.2504488513077,36935
1411.9191015087,36553
1413.5871508179953,36111
1415.2545969680341,36056
1416.9214401476111,35498
1418.5876805454936,35008
1420.2533183503947,34444
1421.9183537509925,33699
1423.5827869359273,33440
1425.2466180937918,32765
1426.9098474131442,32443
1428.5724750824993,32352
1430.2345012903297,32064
1431.8959262250737,32184
1433.5567500751204,32307
1435.2169730288242,32799
1436.8765952744998,33317
1438.5356170004161,33875
1440.194038394804,34553
1441.8518596458543,34901
1443.5090809417161,36182
1445.1657024705019,36678
1446.821724420277,37626
1448.4771469790703,39115
1450.1319703348727,40253
1451.7861946756238,41090
1453.43982018924,42480
1455.092847063579,43661
1456.745275486468,44535
1458.397105645694,45397
1460.048337729002,46028
1461.6989719240973,46131
1463.349008418636,46164
1464.9984474002467,45786
1466.647289056511,44620
1468.2955335749702,43990
1469.9431811431241,42410
1471.5902319484358,41088
1473.2366861783248,39768
1474.8825440201726,38618
1476.5278056613188,37529
1478.1724712890591,35880
1479.8165410906549,35181
1481.4600152533239,34594
1483.102893964242,34083
1484.7451774105484,33487
1486.3868657793391,33566
1488.027959257668,33260
1489.6684580325582,33743
1491.3083622909799,34092
1492.9476722198688,34836
1494.586388006117,36014
1496.2245098365856,36796
1497.862037898085,38332
1499.4989723773833,39693
1501.1353134612236,40250
1502.7710613362906,41009
1504.4062161892416,41370
1506.0407782066868,41909
1507.6747475751963,42100
1509.3081244813056,42508
1510.9409091115012,42589
1512.573101652235,42056
1514.2047022899187,41944
1515.8357112109188,41661
1517.4661286015707,40086
1519.095954648159,38958
1520.7251895369336,37843
1522.3538334541045,36268
1523.9818865858379,35395
1525.6093491182619,34359
1527.2362212374665,33528
1528.8625031294996,32284
1530.4881949803621,31757
1532.1132969760256,31320
1533.7378093024181,30776
1535.361732145424,30499
1536.9850656908875,29999
1538.6078101246167,29604
1540.2299656323758,29075
1541.8515323998909,28805
1543.4725106128481,28452
1545.0929004568898,28090
1546.7127021176184,27926
1548.3319157806054,27722
1549.9505416313677,27694
1551.5685798553932,27503
1553.1860306381222,27749
1554.8028941649609,28012
1556.4191706212732,28125
1558.0348601923797,28213
1559.6499630635626,29040
1561.264479420066,29372
1562.8784094470902,29639
1564.4917533297994,29722
1566.1045112533193,30235
1567.7166834027212,30272
1569.3282699630581,30765
1570.939271119325,30927
1572.5496870564821,31445
1574.1595179594569,32082
1575.7687640131262,32588
1577.3774254023301,34058
1578.9855023118707,35161
1580.5929949265083,37098
1582.1999034309647,39564
1583.8062280099184,42856
1585.4119688480096,45910
1587.01712612984,49932
1588.6217000399665,53928
1590.2256907629162,57337
1591.8290984831583,60723
1593.431923385142,62840
1595.03416565326,63819
1596.635825471878,63742
1598.2369030253085,62384
1599.8373984978352,60401
1601.4373120736982,58065
1603.0366439370955,54991
1604.6353942721853,52319
1606.2335632630857,49482
1607.8311510938784,46895
1609.4281579486014,44753
1611.0245840112548,43467
1612.6204294657946,42448
1614.2156944961425,41890
1615.8103792861766,41786
1617.404484019733,42623
1618.9980088806151,43198
1620.5909540525772,44136
1622.1833197193428,44338
1623.775106064586,43519
1625.3663132719485,42268
1626.956941525028,40929
1628.5469910073825,38523
1630.1364619025335,36677
1631.7253543939569,34627
1633.3136686650905,33123
1634.9014048993376,31918
1636.488563280056,31280
1638.0751439905616,30856
1639.6611472141376,29930
1641.2465731340162,29453
1642.8314219334043,29313
1644.4156937954558,29047
1645.9993889032921,28768
1647.5825074399909,28331
1649.1650495885915,27892
1650.7470155320952,27717
1652.3284054534615,27712
1653.9092195356079,27241
1655.4894579614138,27000
1657.069120913724,26738
1658.6482085753287,26095
1660.2267211289964,25624
1661.8046587574445,25181
1663.3820216433523,24762
1664.9588099693592,24171
1666.5350239180661,23132
1668.110663672036,22688
1669.6857294137862,22326
1671.2602213257996,21802
1672.8341395905136,21336
1674.4074843903345,20876
1675.9802559076179,20520
1677.5524543246884,20548
1679.1240798238287,20136
1680.695132587276,20058
1682.265612797235,20133
1683.8355206358683,19805
1685.4048562852968,20020
1686.9736199275994,20141
1688.5418117448262,19849
1690.1094319189724,19871
1691.6764806320007,19609
1693.2429580658427,19037
1694.8088644023737,19071
